Unnamed: 0,CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude
0, ,ALACHUA,29.46812305,-82.15818111,RIMES-LAKECREST AIRPORT,AIRPORT,"RIMES, JOHN P.O. BOX 188  WORTHINGTON SPRINGS FL 32697",Active,,,,,,,,,,,,,,,
1, ,ALACHUA,29.73416666,-82.56527777,SULLIVAN FIELD,AIRPORT,20638 NW 78TH AVENUE  ALACHUA FL 32615,Active,,,,,,,,,,,,,,,
2,GAINESVILLE,ALACHUA,29.69869444,-82.49148611,LINK FIELD,AIRPORT,"ESKRIDGE, MARTY 14705 MAIN STREET  ALACHUA FL 32615",Active,,,,,,,,,,,,,,,
3,GAINESVILLE,ALACHUA,29.70248611,-82.42570833,GLEIM FIELD,AIRPORT,"GLEIM, IRVIN P.O. BOX 12848, UNIVERSITY STN  GAINESVILLE FL 32604",Active,,,,,,,,,,,,,,,
4,GAINESVILLE,ALACHUA,29.69005555,-82.27177777,GAINESVILLE REGIONAL AIRPORT,AIRPORT,3880 NORTHEAST 39TH AVENUE  GAINESVILLE FL 32609,Active,,,,,,,,,,,,,,,
5,ARCHER,ALACHUA,29.55715277,-82.49674999,PEACH ORCHARD AIRPORT,AIRPORT,"HELPLING, RAY 14208 SW ARCHER ROAD  ARCHER FL 32618",Active,,,,,,,,,,,,,,,
6,ARCHER,ALACHUA,29.61802222,-82.50871944,FLYING TEN AIRPORT,AIRPORT,3906 SOUTHWEST 154 STREET  ARCHER FL 32618,Active,,,,,,,,,,,,,,,
7,MELROSE,ALACHUA,29.71524444,-82.09672222,FLYING HORSEMAN RANCH AIRPORT,AIRPORT,"KTL HOLDINGS, LLC 810 NW 6TH STREET GAINESVILLE FL 32601",Active,,,,,,,,,,,,,,,
8,ALACHUA,ALACHUA,29.91008333,-82.47787499,SANTA FE RIVER RANCH AIRPORT,AIRPORT,"DAVIS, SNEAD 29210 NW 122ND STREET  ALACHUA FL 32615-3240",Active,,,,,,,,,,,,,,,
9,MACCLENNY,BAKER,30.34172222,-82.13002777,THRIFT AIRPORT,AIRPORT,"THRIFT, DALE 5671 HARLEY THRIFT RD.  MACCLENNY FL 32063-9552",Active,,,,,,,,,,,,,,,
