CITY,COUNTY,FACILITY_TYPE,SHELTER_TYPE,Risk_Capacity_Spaces,Evacuation_Zone,General_Pop,SPECIAL_NEEDS,Pet_Friendly,rsig_Longitude,rsig_Latitude,Longitude,Latitude,rsisn_Longitude,rsisn_Latitude
Newberry,ALACHUA,SHELTER,RISK,593,No,Yes, , ,-82.60425502, 29.66906401,,,,
Gainesville,ALACHUA,SHELTER,RISK,163,No,Yes, , ,-82.36826304, 29.63818101,,,,
Gainesville,ALACHUA,SHELTER,RISK,900,No,Yes, , ,-82.46277603, 29.68814902,,,,
Gainesville,ALACHUA,SHELTER,RISK,552,No,Yes, , ,-82.32800802, 29.66689901,,,,
Gainesville,ALACHUA,SHELTER,RISK,266,No,Yes, , ,-82.44516599, 29.62869098,,,,
Gainesville,ALACHUA,SHELTER,RISK,189,No,Yes, , ,-82.38745399, 29.70747701,,,,
Gainesville,ALACHUA,SHELTER,RISK,589,No,Yes, , ,-82.44516599, 29.62869098,,,,
Newberry,ALACHUA,SHELTER,RISK,457,No,Yes, , ,-82.60579703, 29.64099800,,,,
Waldo,ALACHUA,SHELTER,RISK,278,No,Yes, , ,-82.17813032, 29.79119606,,,,
Gainesville,ALACHUA,SHELTER,RISK,400,No,Yes, , ,-82.30778501, 29.66118900,,,,
Gainesville,ALACHUA,SHELTER,RISK,210,No,Yes, , ,-82.30905000, 29.64561002,,,,
Gainesville,ALACHUA,SHELTER,RISK,118,No,Yes, , ,-82.36826304, 29.63818101,,,,
Gainesville,ALACHUA,SHELTER,RISK,94,No,Yes, , ,-82.29512800, 29.64887498,,,,
Archer,ALACHUA,SHELTER,RISK,211,No,Yes, , ,-82.52304200, 29.52002501,,,,
Gainesville,ALACHUA,SHELTER,RISK,408,No,Yes, , ,-82.32800802, 29.66689901,,,,
Gainesville,ALACHUA,SHELTER,RISK,1837,No,Yes, , ,-82.36826304, 29.63818101,,,,
Gainesville,ALACHUA,SHELTER,RISK,842,No,Yes, , ,-82.26966897, 29.63981599,,,,
Gainesville,ALACHUA,SHELTER,RISK,450,No,Yes, , ,-82.42086602, 29.60768400,,,,
Alachua,ALACHUA,SHELTER,RISK,546,No,Yes, , ,-82.52386401, 29.80616102,,,,
Gainesville,ALACHUA,SHELTER,RISK,666,No,Yes, , ,-82.44516599, 29.62869098,,,,
Gainesville,ALACHUA,SHELTER,RISK,467,No,Yes, , ,-82.42086602, 29.60768400,,,,
Hawthorne,ALACHUA,SHELTER,RISK,184,No,Yes, , ,-82.09070503, 29.59414300,,,,
Gainesville,ALACHUA,SHELTER,RISK,699,No,Yes, , ,-82.34848194, 29.64494386,,,,
High Springs,ALACHUA,SHELTER,RISK,296,No,Yes, , ,-82.59185006, 29.83557492,,,,
Newberry,ALACHUA,SHELTER,RISK,447,No,Yes, , ,-82.60579703, 29.64099800,,,,
Macclenny,BAKER,SHELTER,RISK,30,No,Yes, , ,-82.11830806, 30.27471835,,,,
Macclenny,BAKER,SHELTER,RISK,306,No,Yes, , ,-82.12961109, 30.29911681,,,,
Macclenny,BAKER,SHELTER,RISK,311,No,Yes, , ,-82.12961109, 30.29911681,,,,
Glen Saint Mary,BAKER,SHELTER,RISK,285,No,Yes, , ,-82.15856261, 30.27982736,,,,
Macclenny,BAKER,SHELTER,RISK,125,No,Yes, , ,-82.12698371, 30.27648753,,,,
Macclenny,BAKER,SHELTER,RISK,836,No,Yes, , ,-82.11830806, 30.27471835,,,,
Macclenny,BAKER,SHELTER,RISK,207,No,Yes, , ,-82.12945106, 30.27684566,,,,
Macclenny,BAKER,SHELTER,RISK,316,No,Yes, , ,-82.12961109, 30.29911681,,,,
Macclenny,BAKER,SHELTER,RISK,274,No,Yes, , ,-82.12961109, 30.29911681,,,,
Springfield,BAY,SHELTER,RISK,552,No,Yes, ,Yes,-85.61524301, 30.16608099,-85.61524301, 30.16608099,,
Panama City,BAY,SHELTER,RISK,168,D,Yes, ,Yes,-85.70702904, 30.18332398,-85.70702904, 30.18332398,,
Panama City,BAY,SHELTER,RISK,393,D,Yes, ,Yes,-85.70702904, 30.18332398,-85.70702904, 30.18332398,,
Panama City,BAY,SHELTER,RISK,400,No,Yes, ,Yes,-85.56411399, 30.24187200,-85.56411399, 30.24187200,,
Panama City,BAY,SHELTER,RISK,107,No,Yes, ,Yes,-85.62116198, 30.17427002,-85.62116198, 30.17427002,,
