CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude
 ,ALACHUA,29.46812305,-82.15818111,RIMES-LAKECREST AIRPORT,AIRPORT,"RIMES, JOHN P.O. BOX 188  WORTHINGTON SPRINGS FL 32697",Active,,,,,,,,,,,,,,,
 ,ALACHUA,29.73416666,-82.56527777,SULLIVAN FIELD,AIRPORT,20638 NW 78TH AVENUE  ALACHUA FL 32615,Active,,,,,,,,,,,,,,,
GAINESVILLE,ALACHUA,29.69869444,-82.49148611,LINK FIELD,AIRPORT,"ESKRIDGE, MARTY 14705 MAIN STREET  ALACHUA FL 32615",Active,,,,,,,,,,,,,,,
GAINESVILLE,ALACHUA,29.70248611,-82.42570833,GLEIM FIELD,AIRPORT,"GLEIM, IRVIN P.O. BOX 12848, UNIVERSITY STN  GAINESVILLE FL 32604",Active,,,,,,,,,,,,,,,
GAINESVILLE,ALACHUA,29.69005555,-82.27177777,GAINESVILLE REGIONAL AIRPORT,AIRPORT,3880 NORTHEAST 39TH AVENUE  GAINESVILLE FL 32609,Active,,,,,,,,,,,,,,,
ARCHER,ALACHUA,29.55715277,-82.49674999,PEACH ORCHARD AIRPORT,AIRPORT,"HELPLING, RAY 14208 SW ARCHER ROAD  ARCHER FL 32618",Active,,,,,,,,,,,,,,,
ARCHER,ALACHUA,29.61802222,-82.50871944,FLYING TEN AIRPORT,AIRPORT,3906 SOUTHWEST 154 STREET  ARCHER FL 32618,Active,,,,,,,,,,,,,,,
MELROSE,ALACHUA,29.71524444,-82.09672222,FLYING HORSEMAN RANCH AIRPORT,AIRPORT,"KTL HOLDINGS, LLC 810 NW 6TH STREET GAINESVILLE FL 32601",Active,,,,,,,,,,,,,,,
ALACHUA,ALACHUA,29.91008333,-82.47787499,SANTA FE RIVER RANCH AIRPORT,AIRPORT,"DAVIS, SNEAD 29210 NW 122ND STREET  ALACHUA FL 32615-3240",Active,,,,,,,,,,,,,,,
MACCLENNY,BAKER,30.34172222,-82.13002777,THRIFT AIRPORT,AIRPORT,"THRIFT, DALE 5671 HARLEY THRIFT RD.  MACCLENNY FL 32063-9552",Active,,,,,,,,,,,,,,,
SANDERSON,BAKER,30.36238888,-82.22469444,CUYLER FIELD AIRPORT,AIRPORT,"MILLER, CURTIS 10750 SOUTH RUNWAY CIRCLE  GLEN-ST. MARY FL 32040",Active,,,,,,,,,,,,,,,
PANAMA CITY,BAY,30.06996388,-85.57649444,TYNDALL AFB,AIRPORT,COMMAND POST 850-283-2155 U.S. AIR FORCE PANAMA CITY FL ,Active,,,,,,,,,,,,,,,
PANAMA CITY,BAY,30.10222222,-85.46242222,SANDY CREEK AIRPARK,AIRPORT,SANDY CREEK AIR PARK OWNERS ASSOC. 12901 PARK WAY PANAMA CITY FL 32404,Active,,,,,,,,,,,,,,,
PANAMA CITY,BAY,30.35824166,-85.79560277,NORTHWEST FLORIDA-BEACHES INTERNATIONAL AIRPORT,AIRPORT,6300 WEST BAY PARKWAY  PANAMA CITY BEACH FL 32409,Active,,,,,,,,,,,,,,,
 ,BAY,30.41408611,-85.74576388,COURT MARTIAL RANCH AIRPORT,AIRPORT,"GARRETT, TOMMY 5801 HIGHWAY 79  VERNON FL 32462",Active,,,,,,,,,,,,,,,
 ,BAY,30.39166666,-85.80833333,TURKEYSCRATCH PLANTATION AIRPORT,AIRPORT,N/A  LAMONT FL N/A,Active,,,,,,,,,,,,,,,
STARKE,BRADFORD,30.05487499,-82.17633055,STATE PRISON FIELD,AIRPORT,"SUTTON, BRIAN FLORIDA DEPT OF CORRECTIONS 7819 NW 228TH STREET RAIFORD FL 32026-1000",Active,,,,,,,,,,,,,,,
STARKE,BRADFORD,29.84440833,-82.03343611,Keystone Heights Airpark,AIRPORT,7100 AIRPORT ROAD  STARKE FL 32091-9347,Active,,,,,,,,,,,,,,,
PATRICK AFB,BREVARD,28.46750027,-80.56643888,CAPE CANAVERAL AFS SKID STRIP,AIRPORT,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,Active,,,,,,,,,,,,,,,
PATRICK AFB,BREVARD,28.23945555,-80.60755277,PATRICK AFB,AIRPORT,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,Active,,,,,,,,,,,,,,,
 ,BREVARD,27.87529999,-80.51644166,WHEELER FARMS PRIVATE AIRPORT,AIRPORT,4533 MICCO ROAD  MICCO FL 32976,Active,,,,,,,,,,,,,,,
