Name,City,COUNTY,Longitude,Latitude,FACILITY_TYPE
GREYHOUND-PORT CHARLOTTE,PORT CHARLOTTE,CHARLOTTE,-82.05028,27.01659,BUS TERMINAL
GREYHOUND-ISLAMORADA,ISLAMORADA,MONROE,-80.62999,24.92268,BUS TERMINAL
GREYHOUND-TALLAHASSEE,TALLAHASSEE,LEON,-84.28243,30.44472,BUS TERMINAL
GREYHOUND-WEST PALM BEACH,WEST PALM BEACH,PALM BEACH,-80.06199,26.71219,BUS TERMINAL
GREYHOUND-KEY WEST INT'L,KEY WEST,MONROE,-81.75466,24.55354,BUS TERMINAL
GREYHOUND-BROOKSVILLE,BROOKSVILLE,HERNANDO,-82.42075,28.5569,BUS TERMINAL
GREYHOUND-JACKSONVILLE,JACKSONVILLE,DUVAL,-81.66295,30.32752,BUS TERMINAL
GREYHOUND-WINTER HAVEN,WINTER HAVEN,POLK,-81.73292,28.03106,BUS TERMINAL
GREYHOUND-STARKE,STARKE,BRADFORD,-82.10841,29.95285,BUS TERMINAL
GREYHOUND-NAPLES,NAPLES,COLLIER,-81.77258,26.13853,BUS TERMINAL
PINELLAS SUNCOAST TRANSIT AUTHORITY,SAINT PETERSBURG,PINELLAS,-82.67666969,27.88692808,BUS TERMINAL
GREYHOUND-GAINESVILLE,GAINESVILLE,ALACHUA,-82.29438,29.65248,BUS TERMINAL
GREYHOUND-MELBOURNE,MELBOURNE,BREVARD,-80.63238003,28.09763367,BUS TERMINAL
GREYHOUND-BELLE GLADE,BELLE GLADE,PALM BEACH,-80.68606,26.67898,BUS TERMINAL
GREYHOUND-SARASOTA,SARASOTA,SARASOTA,-82.53104,27.34093,BUS TERMINAL
GREYHOUND-MIAMI,MIAMI,MIAMI-DADE,-80.26298,25.80025,BUS TERMINAL
GREYHOUND-MARATHON,MARATHON,MONROE,-81.02601,24.73115,BUS TERMINAL
GREYHOUND-CHIEFLAND,CHIEFLAND,LEVY,-82.86859,29.49691,BUS TERMINAL
GREYHOUND-SPRING HILL,SPRING HILL,HERNANDO,-82.62961,28.45466,BUS TERMINAL
GREYHOUND-LAKE CITY,LAKE CITY,COLUMBIA,-82.6371,30.18712,BUS TERMINAL
GREYHOUND-ORLANDO,ORLANDO,ORANGE,-81.41359,28.54817,BUS TERMINAL
GREYHOUND-KISSIMMEE,KISSIMMEE,OSCEOLA,-81.40465,28.29342,BUS TERMINAL
GREYHOUND-LABELLE,LABELLE,HENDRY,-81.43858,26.76177,BUS TERMINAL
GREYHOUND-TITUSVILLE,TITUSVILLE,BREVARD,-80.80772,28.60145,BUS TERMINAL
GREYHOUND-MIAMI NORTH,MIAMI,MIAMI-DADE,-80.2133,25.92156,BUS TERMINAL
GREYHOUND-DELRAY BEACH,DELRAY BEACH,PALM BEACH,-80.06692,26.45396,BUS TERMINAL
CENTRAL FLORIDA REGIONAL TRANSPORTATION,ORLANDO,ORANGE,-81.38138789,28.54850906,BUS TERMINAL
GREYHOUND-ST AUGUSTINE,ST AUGUSTINE,ST. JOHNS,-81.33488,29.87043,BUS TERMINAL
GREYHOUND-FORT LAUDERDALE,FORT LAUDERDALE,BROWARD,-80.13813,26.12524,BUS TERMINAL
GREYHOUND-LAKELAND,LAKELAND,POLK,-81.95415,28.04712,BUS TERMINAL
GREYHOUND-MIAMI CUTLER RIDGE,MIAMI,MIAMI-DADE,-80.36682,25.5785,BUS TERMINAL
GREYHOUND-CRYSTAL RIVER,CRYSTAL RIVER,CITRUS,-82.58346,28.88817,BUS TERMINAL
GREYHOUND-TAMPA,TAMPA,HILLSBOROUGH,-82.45633,27.95174,BUS TERMINAL
GREYHOUND-BIG PINE KEY,BIG PINE KEY,MONROE,-81.35157,24.66959,BUS TERMINAL
GREYHOUND-PALATKA,PALATKA,PUTNAM,-81.63965,29.64977,BUS TERMINAL
BROWARD COUNTY MASS TRANSIT,FORT LAUDERDALE,BROWARD,-80.14507997,26.1233034,BUS TERMINAL
GREYHOUND-FORT MYERS,FORT MYERS,LEE,-81.86801,26.63977,BUS TERMINAL
GREYHOUND-BRADENTON,BRADENTON,MANATEE,-82.56305,27.47245,BUS TERMINAL
GREYHOUND-DAYTONA BEACH,DAYTONA BEACH,VOLUSIA,-81.02222,29.20953,BUS TERMINAL
GREYHOUND-FORT PIERCE,FORT PIERCE,ST. LUCIE,-80.3976,27.41312,BUS TERMINAL
GREYHOUND-ST PETERSBURG,ST PETERSBURG,PINELLAS,-82.64665,27.77339,BUS TERMINAL
GREYHOUND-CLEARWATER,CLEARWATER,PINELLAS,-82.72072,27.9606,BUS TERMINAL
HILLSBOROUGH AREA REGIONAL TRANSIT,TAMPA,HILLSBOROUGH,-82.4105897,27.96875964,BUS TERMINAL
GREYHOUND-OCALA,OCALA,MARION,-82.13596,29.19198,BUS TERMINAL
