Name,CITY,COUNTY,Longitude,Latitude,FACILITY_TYPE,fs_Longitude,fs_Latitude,fb_Longitude,fb_Latitude,ng_Longitude,ng_Latitude
U.S. COAST GUARD STATION,PANAMA CITY,BAY,-85.75506058,30.16991497,COAST GUARD,,,,,,
US COAST GUARD - PORT CANAVERAL STATION,CAPE CANAVERAL,BREVARD,-80.62145586,28.4160511,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,FORT LAUDERDALE,BROWARD,-80.11333329,26.08833329,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,ATLANTIC BEACH,DUVAL,-81.43462378,30.38785501,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,PENSACOLA,ESCAMBIA,-87.29027127,30.3450822,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,FORT MYERS BEACH,LEE,-81.94555388,26.46161753,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,YANKEETOWN,LEVY,-82.71200715,29.0320795,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,BRADENTON,MANATEE,-82.68674725,27.46643297,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,MIAMI BEACH,MIAMI-DADE,-80.14494685,25.77111105,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,MARATHON,MONROE,-81.10608585,24.71006115,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,ISLAMORADA,MONROE,-80.58670518,24.95367362,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,KEY WEST,MONROE,-81.79875116,24.56610356,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,FORT WALTON BEACH,OKALOOSA,-86.52598282,30.39133273,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,WEST PALM BEACH,PALM BEACH,-80.04500002,26.77166672,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,CLEARWATER BEACH,PINELLAS,-82.83334436,27.94760463,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,SAINT PETERSBURG,PINELLAS,-82.62695054,27.76200358,COAST GUARD,,,,,,
U.S. COAST GUARD AIR STATION,CLEARWATER,PINELLAS,-82.69460031,27.9116817,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,FORT PIERCE,ST. LUCIE,-80.30709475,27.46394771,COAST GUARD,,,,,,
COAST GUARD LESSOR,NOKOMIS,SARASOTA,-82.46939024,27.12312776,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,VENICE,SARASOTA,-82.45081933,27.07742368,COAST GUARD,,,,,,
U.S. COAST GUARD STATION,NEW SMYRNA BEACH,VOLUSIA,-80.91462565,29.06422844,COAST GUARD,,,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.37061276,29.69186153,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.35492015,29.63559258,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.30834182,29.66056646,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.31939272,29.64328610,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.43644934,29.58904961,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.35595783,29.61934912,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.27287642,29.63878247,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.33850482,29.68031480,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.30674589,29.65993415,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.38810021,29.70642201,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.18703327,29.63841672,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.35290756,29.70979567,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.32454197,29.64678700,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.43616689,29.66754728,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.37691215,29.65146070,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.38961597,29.63582580,,,,
,GAINESVILLE,ALACHUA,,,FIRE STATION,-82.27910233,29.69590866,,,,
,HAWTHORNE,ALACHUA,,,FIRE STATION,-82.08679035,29.58612338,,,,
,HAWTHORNE,ALACHUA,,,FIRE STATION,-82.13456659,29.70689838,,,,
,HAWTHORNE,ALACHUA,,,FIRE STATION,-82.10794753,29.45367890,,,,
